locus_tag	ftype	length_bp	gene	EC_number	COG	product
HPMDNKFC_00001	gene	2103	fusA			
HPMDNKFC_00001	CDS	2103	fusA		COG0480	Elongation factor G
HPMDNKFC_00002	gene	474	rpsG			
HPMDNKFC_00002	CDS	474	rpsG		COG0049	30S ribosomal protein S7
HPMDNKFC_00003	gene	378	rpsL			
HPMDNKFC_00003	CDS	378	rpsL		COG0048	30S ribosomal protein S12
HPMDNKFC_00004	gene	1170	dacC			
HPMDNKFC_00004	CDS	1170	dacC	3.4.16.4	COG1686	D-alanyl-D-alanine carboxypeptidase DacC
HPMDNKFC_00005	gene	636				
HPMDNKFC_00005	CDS	636				hypothetical protein
HPMDNKFC_00006	gene	351	fdx4			
HPMDNKFC_00006	CDS	351	fdx4		COG3411	Ferredoxin, 2Fe-2S
HPMDNKFC_00007	gene	1098				
HPMDNKFC_00007	CDS	1098				hypothetical protein
HPMDNKFC_00008	gene	429				
HPMDNKFC_00008	CDS	429				hypothetical protein
HPMDNKFC_00009	gene	1008	hemB			
HPMDNKFC_00009	CDS	1008	hemB	4.2.1.24	COG0113	Delta-aminolevulinic acid dehydratase
HPMDNKFC_00010	gene	1899				
HPMDNKFC_00010	CDS	1899				hypothetical protein
HPMDNKFC_00011	gene	621	pdtaR			
HPMDNKFC_00011	CDS	621	pdtaR		COG3707	putative transcriptional regulatory protein pdtaR
HPMDNKFC_00012	gene	2274				
HPMDNKFC_00012	CDS	2274				hypothetical protein
HPMDNKFC_00013	gene	1677	trg_1			
HPMDNKFC_00013	CDS	1677	trg_1		COG0840	Methyl-accepting chemotaxis protein III
HPMDNKFC_00014	gene	1647				
HPMDNKFC_00014	CDS	1647				hypothetical protein
HPMDNKFC_00015	gene	636				
HPMDNKFC_00015	CDS	636				hypothetical protein
HPMDNKFC_00016	gene	678	creB			
HPMDNKFC_00016	CDS	678	creB		COG0745	Transcriptional regulatory protein CreB
HPMDNKFC_00017	gene	1446	creC			
HPMDNKFC_00017	CDS	1446	creC	2.7.13.3	COG0642	Sensor protein CreC
HPMDNKFC_00018	gene	1425	creD			
HPMDNKFC_00018	CDS	1425	creD		COG4452	Inner membrane protein CreD
HPMDNKFC_00019	gene	303				
HPMDNKFC_00019	CDS	303				hypothetical protein
HPMDNKFC_00020	gene	645				
HPMDNKFC_00020	CDS	645				hypothetical protein
HPMDNKFC_00021	gene	588	nosL			
HPMDNKFC_00021	CDS	588	nosL			Copper-binding lipoprotein NosL
HPMDNKFC_00022	gene	816	nosY			
HPMDNKFC_00022	CDS	816	nosY		COG1277	putative ABC transporter permease protein NosY
HPMDNKFC_00023	gene	930	nosF			
HPMDNKFC_00023	CDS	930	nosF		COG1131	putative ABC transporter ATP-binding protein NosF
HPMDNKFC_00024	gene	1278	nosD			
HPMDNKFC_00024	CDS	1278	nosD			putative ABC transporter binding protein NosD
HPMDNKFC_00025	gene	2625				
HPMDNKFC_00025	CDS	2625				hypothetical protein
HPMDNKFC_00026	gene	1929	nosZ			
HPMDNKFC_00026	CDS	1929	nosZ	1.7.2.4		Nitrous-oxide reductase
HPMDNKFC_00027	gene	348				
HPMDNKFC_00027	CDS	348				hypothetical protein
HPMDNKFC_00028	gene	444				
HPMDNKFC_00028	CDS	444				hypothetical protein
HPMDNKFC_00029	gene	1035				
HPMDNKFC_00029	CDS	1035				hypothetical protein
HPMDNKFC_00030	gene	759	rsmA			
HPMDNKFC_00030	CDS	759	rsmA	2.1.1.182	COG0030	Ribosomal RNA small subunit methyltransferase A
HPMDNKFC_00031	gene	1380	surA			
HPMDNKFC_00031	CDS	1380	surA	5.2.1.8	COG0760	Chaperone SurA
HPMDNKFC_00032	gene	2436	lptD			
HPMDNKFC_00032	CDS	2436	lptD		COG1452	LPS-assembly protein LptD
HPMDNKFC_00033	gene	1104	amgK			
HPMDNKFC_00033	CDS	1104	amgK	2.7.1.221	COG3178	N-acetylmuramate/N-acetylglucosamine kinase
HPMDNKFC_00034	gene	726	rsmE			
HPMDNKFC_00034	CDS	726	rsmE	2.1.1.193	COG1385	Ribosomal RNA small subunit methyltransferase E
HPMDNKFC_00035	gene	315	yqjZ			
HPMDNKFC_00035	CDS	315	yqjZ		COG2329	putative protein YqjZ
HPMDNKFC_00036	gene	576				
HPMDNKFC_00036	CDS	576				hypothetical protein
HPMDNKFC_00037	gene	348				
HPMDNKFC_00037	CDS	348				hypothetical protein
HPMDNKFC_00038	gene	1350				
HPMDNKFC_00038	CDS	1350				hypothetical protein
HPMDNKFC_00039	gene	1131				
HPMDNKFC_00039	CDS	1131		1.8.5.4	COG0446	Sulfide-quinone reductase
HPMDNKFC_00040	gene	1374	tolC_1			
HPMDNKFC_00040	CDS	1374	tolC_1			Outer membrane protein TolC
HPMDNKFC_00041	gene	363				
HPMDNKFC_00041	CDS	363				hypothetical protein
HPMDNKFC_00042	gene	3255	mdtB_1			
HPMDNKFC_00042	CDS	3255	mdtB_1			Multidrug resistance protein MdtB
HPMDNKFC_00043	gene	1056	macA_1			
HPMDNKFC_00043	CDS	1056	macA_1		COG0845	Macrolide export protein MacA
HPMDNKFC_00044	gene	399				
HPMDNKFC_00044	CDS	399				hypothetical protein
HPMDNKFC_00045	gene	1509	ttgC			
HPMDNKFC_00045	CDS	1509	ttgC			Toluene efflux pump outer membrane protein TtgC
HPMDNKFC_00046	gene	711	lolD_1			
HPMDNKFC_00046	CDS	711	lolD_1	3.6.3.-	COG1136	Lipoprotein-releasing system ATP-binding protein LolD
HPMDNKFC_00047	gene	1203				
HPMDNKFC_00047	CDS	1203			COG0577	putative ABC transporter permease
HPMDNKFC_00048	gene	1152	macA_2			
HPMDNKFC_00048	CDS	1152	macA_2		COG0845	Macrolide export protein MacA
HPMDNKFC_00049	gene	612	slmA_1			
HPMDNKFC_00049	CDS	612	slmA_1			Nucleoid occlusion factor SlmA
HPMDNKFC_00050	gene	1173				
HPMDNKFC_00050	CDS	1173				hypothetical protein
HPMDNKFC_00051	gene	1287	bbsG			
HPMDNKFC_00051	CDS	1287	bbsG	1.3.8.3		(R)-benzylsuccinyl-CoA dehydrogenase
HPMDNKFC_00052	gene	1008	ctaA_1			
HPMDNKFC_00052	CDS	1008	ctaA_1	1.3.-.-		Heme A synthase
HPMDNKFC_00053	gene	156				
HPMDNKFC_00053	CDS	156				hypothetical protein
HPMDNKFC_00054	gene	540	cbaB			
HPMDNKFC_00054	CDS	540	cbaB	1.9.3.1	COG1622	Cytochrome c oxidase subunit 2
HPMDNKFC_00055	gene	1701				
HPMDNKFC_00055	CDS	1701				hypothetical protein
HPMDNKFC_00056	gene	900	ctaB_1			
HPMDNKFC_00056	CDS	900	ctaB_1	2.5.1.141	COG0109	Protoheme IX farnesyltransferase
HPMDNKFC_00057	gene	855				
HPMDNKFC_00057	CDS	855				hypothetical protein
HPMDNKFC_00058	gene	1587	petB_1			
HPMDNKFC_00058	CDS	1587	petB_1			Cytochrome b6
HPMDNKFC_00059	gene	504				
HPMDNKFC_00059	CDS	504				hypothetical protein
HPMDNKFC_00060	gene	1452				
HPMDNKFC_00060	CDS	1452				hypothetical protein
HPMDNKFC_00061	gene	1920	nqrF			
HPMDNKFC_00061	CDS	1920	nqrF	7.2.1.1		Na(+)-translocating NADH-quinone reductase subunit F
HPMDNKFC_00062	gene	1485	ubiD			
HPMDNKFC_00062	CDS	1485	ubiD	4.1.1.98	COG0043	3-octaprenyl-4-hydroxybenzoate carboxy-lyase
HPMDNKFC_00063	gene	585	ubiX			
HPMDNKFC_00063	CDS	585	ubiX	2.5.1.129	COG0163	Flavin prenyltransferase UbiX
HPMDNKFC_00064	gene	393				
HPMDNKFC_00064	CDS	393				hypothetical protein
HPMDNKFC_00065	gene	507				
HPMDNKFC_00065	CDS	507				hypothetical protein
HPMDNKFC_00066	gene	915				
HPMDNKFC_00066	CDS	915				hypothetical protein
HPMDNKFC_00067	gene	1056	yhbU			
HPMDNKFC_00067	CDS	1056	yhbU	3.4.-.-	COG0826	putative protease YhbU
HPMDNKFC_00068	gene	1182	rfnT			
HPMDNKFC_00068	CDS	1182	rfnT			Riboflavin transporter RfnT
HPMDNKFC_00069	gene	927				
