locus_tag	ftype	length_bp	gene	EC_number	COG	product
FCLBINPK_00001	gene	297				
FCLBINPK_00001	CDS	297				hypothetical protein
FCLBINPK_00002	gene	189				
FCLBINPK_00002	CDS	189				hypothetical protein
FCLBINPK_00003	gene	1008	yajO_1			
FCLBINPK_00003	CDS	1008	yajO_1	1.1.-.-	COG0667	1-deoxyxylulose-5-phosphate synthase YajO
FCLBINPK_00004	gene	405				
FCLBINPK_00004	CDS	405				hypothetical protein
FCLBINPK_00005	gene	870	btuD_1			
FCLBINPK_00005	CDS	870	btuD_1	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
FCLBINPK_00006	gene	1479				
FCLBINPK_00006	CDS	1479				hypothetical protein
FCLBINPK_00007	gene	453				
FCLBINPK_00007	CDS	453				hypothetical protein
FCLBINPK_00008	gene	1917				
FCLBINPK_00008	CDS	1917				hypothetical protein
FCLBINPK_00009	gene	378	mgsA			
FCLBINPK_00009	CDS	378	mgsA	4.2.3.3	COG1803	Methylglyoxal synthase
FCLBINPK_00010	gene	1182	argD_1			
FCLBINPK_00010	CDS	1182	argD_1	2.6.1.11	COG4992	Acetylornithine aminotransferase
FCLBINPK_00011	gene	975	cdhR_1			
FCLBINPK_00011	CDS	975	cdhR_1		COG4977	HTH-type transcriptional regulator CdhR
FCLBINPK_00012	gene	756	oppF_1			
FCLBINPK_00012	CDS	756	oppF_1		COG4608	Oligopeptide transport ATP-binding protein OppF
FCLBINPK_00013	gene	843	oppD_1			
FCLBINPK_00013	CDS	843	oppD_1		COG0444	Oligopeptide transport ATP-binding protein OppD
FCLBINPK_00014	gene	909	ddpC			
FCLBINPK_00014	CDS	909	ddpC		COG1173	putative D,D-dipeptide transport system permease protein DdpC
FCLBINPK_00015	gene	1044	dppB_1			
FCLBINPK_00015	CDS	1044	dppB_1		COG0601	Dipeptide transport system permease protein DppB
FCLBINPK_00016	gene	1626	ddpA			
FCLBINPK_00016	CDS	1626	ddpA		COG0747	putative D,D-dipeptide-binding periplasmic protein DdpA
FCLBINPK_00017	gene	1281	chiA			
FCLBINPK_00017	CDS	1281	chiA	3.2.1.14		Chitinase A
FCLBINPK_00018	gene	690				
FCLBINPK_00018	CDS	690				hypothetical protein
FCLBINPK_00019	gene	699				
FCLBINPK_00019	CDS	699				hypothetical protein
FCLBINPK_00020	gene	891	eamA			
FCLBINPK_00020	CDS	891	eamA		COG0697	putative amino-acid metabolite efflux pump
FCLBINPK_00021	gene	501	lrp_1			
FCLBINPK_00021	CDS	501	lrp_1		COG1522	Leucine-responsive regulatory protein
FCLBINPK_00022	gene	3552				
FCLBINPK_00022	CDS	3552				hypothetical protein
FCLBINPK_00023	gene	954				
FCLBINPK_00023	CDS	954				hypothetical protein
FCLBINPK_00024	gene	1353				
FCLBINPK_00024	CDS	1353				hypothetical protein
FCLBINPK_00025	gene	588				
FCLBINPK_00025	CDS	588				hypothetical protein
FCLBINPK_00026	gene	2820				
FCLBINPK_00026	CDS	2820				hypothetical protein
FCLBINPK_00027	gene	2568	dosP			
FCLBINPK_00027	CDS	2568	dosP	3.1.4.52	COG2199	Oxygen sensor protein DosP
FCLBINPK_00028	gene	912	dmlR_1			
FCLBINPK_00028	CDS	912	dmlR_1			HTH-type transcriptional regulator DmlR
FCLBINPK_00029	gene	921				
FCLBINPK_00029	CDS	921				hypothetical protein
FCLBINPK_00030	gene	675				
FCLBINPK_00030	CDS	675				hypothetical protein
FCLBINPK_00031	gene	1704				
FCLBINPK_00031	CDS	1704				hypothetical protein
FCLBINPK_00032	gene	4080				
FCLBINPK_00032	CDS	4080				hypothetical protein
FCLBINPK_00033	gene	1794	rcsC_1			
