locus_tag	ftype	length_bp	gene	EC_number	COG	product
NNOICLFK_00001	gene	507				
NNOICLFK_00001	CDS	507				hypothetical protein
NNOICLFK_00002	gene	636				
NNOICLFK_00002	CDS	636				hypothetical protein
NNOICLFK_00003	gene	1305				
NNOICLFK_00003	CDS	1305				hypothetical protein
NNOICLFK_00004	gene	747				
NNOICLFK_00004	CDS	747				hypothetical protein
NNOICLFK_00005	gene	2739				
NNOICLFK_00005	CDS	2739				hypothetical protein
NNOICLFK_00006	gene	4725				
NNOICLFK_00006	CDS	4725				hypothetical protein
NNOICLFK_00007	gene	600				
NNOICLFK_00007	CDS	600				hypothetical protein
NNOICLFK_00008	gene	780				
NNOICLFK_00008	CDS	780				hypothetical protein
NNOICLFK_00009	gene	627	btuD_1			
NNOICLFK_00009	CDS	627	btuD_1	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
NNOICLFK_00010	gene	1230				
NNOICLFK_00010	CDS	1230				hypothetical protein
NNOICLFK_00011	gene	753				
NNOICLFK_00011	CDS	753				hypothetical protein
NNOICLFK_00012	gene	228				
NNOICLFK_00012	CDS	228				hypothetical protein
NNOICLFK_00013	gene	1017	virS			
NNOICLFK_00013	CDS	1017	virS			HTH-type transcriptional regulator VirS
NNOICLFK_00014	gene	1035	aidA_1			
NNOICLFK_00014	CDS	1035	aidA_1			Quorum-quenching protein AidA
NNOICLFK_00015	gene	846	hcaB_1			
NNOICLFK_00015	CDS	846	hcaB_1	1.3.1.87		3-phenylpropionate-dihydrodiol/cinnamic acid-dihydrodiol dehydrogenase
NNOICLFK_00016	gene	1257				
NNOICLFK_00016	CDS	1257		3.4.24.-	COG0612	putative zinc protease
NNOICLFK_00017	gene	1260				
NNOICLFK_00017	CDS	1260				hypothetical protein
NNOICLFK_00018	gene	885	dmlR_1			
NNOICLFK_00018	CDS	885	dmlR_1			HTH-type transcriptional regulator DmlR
NNOICLFK_00019	gene	621	yfcG_1			
NNOICLFK_00019	CDS	621	yfcG_1	1.8.4.-	COG0625	Disulfide-bond oxidoreductase YfcG
NNOICLFK_00020	gene	1017	pafB			
NNOICLFK_00020	CDS	1017	pafB		COG2378	Protein PafB
NNOICLFK_00021	gene	486				
NNOICLFK_00021	CDS	486				hypothetical protein
NNOICLFK_00022	gene	567	yceI_1			
NNOICLFK_00022	CDS	567	yceI_1		COG2353	Protein YceI
NNOICLFK_00023	gene	204				
NNOICLFK_00023	CDS	204				hypothetical protein
NNOICLFK_00024	gene	669				
NNOICLFK_00024	CDS	669				hypothetical protein
NNOICLFK_00025	gene	468				
