locus_tag	ftype	length_bp	gene	EC_number	COG	product
AIDEAGJN_00001	gene	75				
AIDEAGJN_00001	tRNA	75				tRNA-Thr(ggt)
AIDEAGJN_00002	gene	74				
AIDEAGJN_00002	tRNA	74				tRNA-Gly(tcc)
AIDEAGJN_00003	gene	86				
AIDEAGJN_00003	tRNA	86				tRNA-Tyr(gta)
AIDEAGJN_00004	gene	1122				
AIDEAGJN_00004	CDS	1122				hypothetical protein
AIDEAGJN_00005	gene	1194				
AIDEAGJN_00005	CDS	1194		3.5.1.47		N-acetyldiaminopimelate deacetylase
AIDEAGJN_00006	gene	999				
AIDEAGJN_00006	CDS	999				hypothetical protein
AIDEAGJN_00007	gene	939	gbpR_1			
AIDEAGJN_00007	CDS	939	gbpR_1			HTH-type transcriptional regulator GbpR
AIDEAGJN_00008	gene	696	ung			
AIDEAGJN_00008	CDS	696	ung	3.2.2.27	COG0692	Uracil-DNA glycosylase
AIDEAGJN_00009	gene	792	trpC			
AIDEAGJN_00009	CDS	792	trpC	4.1.1.48		Indole-3-glycerol phosphate synthase
AIDEAGJN_00010	gene	1032	trpD			
AIDEAGJN_00010	CDS	1032	trpD	2.4.2.18	COG0547	Anthranilate phosphoribosyltransferase
AIDEAGJN_00011	gene	642	rhtB_1			
AIDEAGJN_00011	CDS	642	rhtB_1		COG1280	Homoserine/homoserine lactone efflux protein
AIDEAGJN_00012	gene	1047	ltaE			
AIDEAGJN_00012	CDS	1047	ltaE	4.1.2.48	COG2008	Low specificity L-threonine aldolase
AIDEAGJN_00013	gene	573	trpG			
AIDEAGJN_00013	CDS	573	trpG	4.1.3.27	COG0512	Anthranilate synthase component 2
AIDEAGJN_00014	gene	459				
AIDEAGJN_00014	CDS	459				hypothetical protein
AIDEAGJN_00015	gene	1524	trpE			
AIDEAGJN_00015	CDS	1524	trpE	4.1.3.27	COG0147	Anthranilate synthase component 1
AIDEAGJN_00016	gene	588				
AIDEAGJN_00016	CDS	588				hypothetical protein
AIDEAGJN_00017	gene	648	cbbZP			
AIDEAGJN_00017	CDS	648	cbbZP	3.1.3.18		Phosphoglycolate phosphatase, plasmid
AIDEAGJN_00018	gene	363				
AIDEAGJN_00018	CDS	363				hypothetical protein
AIDEAGJN_00019	gene	2160	katE			
AIDEAGJN_00019	CDS	2160	katE	1.11.1.6	COG0753	Catalase HPII
AIDEAGJN_00020	gene	117				
AIDEAGJN_00020	CDS	117				hypothetical protein
AIDEAGJN_00021	gene	258				
AIDEAGJN_00021	CDS	258				hypothetical protein
AIDEAGJN_00022	gene	687	rpe			
AIDEAGJN_00022	CDS	687	rpe	5.1.3.1	COG0036	Ribulose-phosphate 3-epimerase
AIDEAGJN_00023	gene	381	apaG			
AIDEAGJN_00023	CDS	381	apaG		COG2967	Protein ApaG
AIDEAGJN_00024	gene	1248				
AIDEAGJN_00024	CDS	1248				hypothetical protein
AIDEAGJN_00025	gene	1176	ybdK			
AIDEAGJN_00025	CDS	1176	ybdK	6.3.2.2	COG2170	Putative glutamate--cysteine ligase 2
AIDEAGJN_00026	gene	960	thiL			
AIDEAGJN_00026	CDS	960	thiL	2.7.4.16	COG0611	Thiamine-monophosphate kinase
AIDEAGJN_00027	gene	483				
AIDEAGJN_00027	CDS	483				hypothetical protein
AIDEAGJN_00028	gene	504	pgpA			
AIDEAGJN_00028	CDS	504	pgpA	3.1.3.27	COG1267	Phosphatidylglycerophosphatase A
AIDEAGJN_00029	gene	489	pncC			
AIDEAGJN_00029	CDS	489	pncC	3.5.1.42	COG1546	Nicotinamide-nucleotide amidohydrolase PncC
AIDEAGJN_00030	gene	408	mgsA			
AIDEAGJN_00030	CDS	408	mgsA	4.2.3.3	COG1803	Methylglyoxal synthase
AIDEAGJN_00031	gene	282				
AIDEAGJN_00031	CDS	282				hypothetical protein
AIDEAGJN_00032	gene	198				
AIDEAGJN_00032	CDS	198				hypothetical protein
AIDEAGJN_00033	gene	396				
AIDEAGJN_00033	CDS	396				hypothetical protein
AIDEAGJN_00034	gene	1218	rlmL			
AIDEAGJN_00034	CDS	1218	rlmL	2.1.1.173	COG0116	Ribosomal RNA large subunit methyltransferase L
AIDEAGJN_00035	gene	1578	rpoN			
AIDEAGJN_00035	CDS	1578	rpoN		COG1508	RNA polymerase sigma-54 factor
AIDEAGJN_00036	gene	795	lptB_1			
AIDEAGJN_00036	CDS	795	lptB_1	3.6.3.-	COG1137	Lipopolysaccharide export system ATP-binding protein LptB
AIDEAGJN_00037	gene	630	lptA			
AIDEAGJN_00037	CDS	630	lptA			Lipopolysaccharide export system protein LptA
AIDEAGJN_00038	gene	1500				
AIDEAGJN_00038	CDS	1500				hypothetical protein
AIDEAGJN_00039	gene	399				
AIDEAGJN_00039	CDS	399				hypothetical protein
AIDEAGJN_00040	gene	1341				
AIDEAGJN_00040	CDS	1341				hypothetical protein
AIDEAGJN_00041	gene	654	dsbA			
AIDEAGJN_00041	CDS	654	dsbA		COG0526	Thiol:disulfide interchange protein DsbA
AIDEAGJN_00042	gene	696	ftsN			
