locus_tag	ftype	length_bp	gene	EC_number	COG	product
MNCFIIID_00001	gene	936	yhaJ			
MNCFIIID_00001	CDS	936	yhaJ			HTH-type transcriptional regulator YhaJ
MNCFIIID_00002	gene	705	yhhW			
MNCFIIID_00002	CDS	705	yhhW	1.13.11.24	COG1741	Quercetin 2,3-dioxygenase
MNCFIIID_00003	gene	447	yqjF			
MNCFIIID_00003	CDS	447	yqjF		COG2259	Inner membrane protein YqjF
MNCFIIID_00004	gene	555	fldP			
MNCFIIID_00004	CDS	555	fldP			Flavodoxin FldP
MNCFIIID_00005	gene	897				
MNCFIIID_00005	CDS	897				hypothetical protein
MNCFIIID_00006	gene	771				
MNCFIIID_00006	CDS	771				hypothetical protein
MNCFIIID_00007	gene	333	zapA			
MNCFIIID_00007	CDS	333	zapA		COG3027	Cell division protein ZapA
MNCFIIID_00008	gene	213				
MNCFIIID_00008	CDS	213				hypothetical protein
MNCFIIID_00009	gene	144				
MNCFIIID_00009	CDS	144				hypothetical protein
MNCFIIID_00010	gene	1932	fecA			
MNCFIIID_00010	CDS	1932	fecA		COG4772	Fe(3+) dicitrate transport protein FecA
MNCFIIID_00011	gene	810	btuF_1			
MNCFIIID_00011	CDS	810	btuF_1		COG0614	Vitamin B12-binding protein
MNCFIIID_00012	gene	906	btuF_2			
MNCFIIID_00012	CDS	906	btuF_2		COG0614	Vitamin B12-binding protein
MNCFIIID_00013	gene	990	hmuU			
MNCFIIID_00013	CDS	990	hmuU		COG0609	Hemin transport system permease protein HmuU
MNCFIIID_00014	gene	780	fecE			
MNCFIIID_00014	CDS	780	fecE		COG1120	Fe(3+) dicitrate transport ATP-binding protein FecE
MNCFIIID_00015	gene	438				
MNCFIIID_00015	CDS	438				Putative universal stress protein
MNCFIIID_00016	gene	708				
MNCFIIID_00016	CDS	708				hypothetical protein
MNCFIIID_00017	gene	669	yieH			
MNCFIIID_00017	CDS	669	yieH	3.1.3.-	COG0637	6-phosphogluconate phosphatase
MNCFIIID_00018	gene	417				
MNCFIIID_00018	CDS	417				hypothetical protein
MNCFIIID_00019	gene	1128	acdA_1			
MNCFIIID_00019	CDS	1128	acdA_1	1.3.99.-	COG1960	Acyl-CoA dehydrogenase
MNCFIIID_00020	gene	1182	thlA			
MNCFIIID_00020	CDS	1182	thlA	2.3.1.9	COG0183	Acetyl-CoA acetyltransferase
MNCFIIID_00021	gene	1818	aceK			
MNCFIIID_00021	CDS	1818	aceK	2.7.11.5	COG4579	Isocitrate dehydrogenase kinase/phosphatase
MNCFIIID_00022	gene	654	can			
MNCFIIID_00022	CDS	654	can	4.2.1.1	COG0288	Carbonic anhydrase 2
MNCFIIID_00023	gene	1182	mmgC_1			
MNCFIIID_00023	CDS	1182	mmgC_1	1.3.99.-	COG1960	Acyl-CoA dehydrogenase
MNCFIIID_00024	gene	462				
MNCFIIID_00024	CDS	462				hypothetical protein
MNCFIIID_00025	gene	411				
MNCFIIID_00025	CDS	411				hypothetical protein
MNCFIIID_00026	gene	1056	gloB_1			
MNCFIIID_00026	CDS	1056	gloB_1	3.1.2.6		Hydroxyacylglutathione hydrolase
MNCFIIID_00027	gene	3384	sasA_1			
MNCFIIID_00027	CDS	3384	sasA_1	2.7.-.-		Adaptive-response sensory-kinase SasA
MNCFIIID_00028	gene	801				
MNCFIIID_00028	CDS	801				hypothetical protein
MNCFIIID_00029	gene	852	sadH			
MNCFIIID_00029	CDS	852	sadH	1.-.-.-		Putative oxidoreductase SadH
MNCFIIID_00030	gene	2379	aes			
