locus_tag	ftype	length_bp	gene	EC_number	COG	product
JLHHCBOK_00001	gene	696	nagK_1			
JLHHCBOK_00001	CDS	696	nagK_1	3.7.1.20		Fumarylpyruvate hydrolase
JLHHCBOK_00002	gene	1050	sdgD			
JLHHCBOK_00002	CDS	1050	sdgD	1.13.11.4		Gentisate 1,2-dioxygenase
JLHHCBOK_00003	gene	984	ndoR			
JLHHCBOK_00003	CDS	984	ndoR	1.18.1.7		Naphthalene 1,2-dioxygenase system ferredoxin--NAD(P)(+), reductase component
JLHHCBOK_00004	gene	912	pcpR_1			
JLHHCBOK_00004	CDS	912	pcpR_1			PCP degradation transcriptional activation protein
JLHHCBOK_00005	gene	1452	vdh			
JLHHCBOK_00005	CDS	1452	vdh	1.2.1.67		Vanillin dehydrogenase
JLHHCBOK_00006	gene	1764				
JLHHCBOK_00006	CDS	1764		1.1.-.-	COG2303	putative GMC-type oxidoreductase
JLHHCBOK_00007	gene	1245				
JLHHCBOK_00007	CDS	1245				hypothetical protein
JLHHCBOK_00008	gene	168				
JLHHCBOK_00008	CDS	168				hypothetical protein
JLHHCBOK_00009	gene	240				
JLHHCBOK_00009	CDS	240				hypothetical protein
JLHHCBOK_00010	gene	384				
JLHHCBOK_00010	CDS	384				hypothetical protein
JLHHCBOK_00011	gene	750				
JLHHCBOK_00011	CDS	750				hypothetical protein
JLHHCBOK_00012	gene	462				
JLHHCBOK_00012	CDS	462				hypothetical protein
JLHHCBOK_00013	gene	894				
JLHHCBOK_00013	CDS	894				hypothetical protein
JLHHCBOK_00014	gene	519				
JLHHCBOK_00014	CDS	519				Single-stranded DNA-binding protein
JLHHCBOK_00015	gene	705				
JLHHCBOK_00015	CDS	705				hypothetical protein
JLHHCBOK_00016	gene	1299				
JLHHCBOK_00016	CDS	1299				hypothetical protein
JLHHCBOK_00017	gene	156				
JLHHCBOK_00017	CDS	156				hypothetical protein
JLHHCBOK_00018	gene	747				
JLHHCBOK_00018	CDS	747			COG3039	IS5 family transposase ISAzo41
JLHHCBOK_00019	gene	3822				
