locus_tag	ftype	length_bp	gene	EC_number	COG	product
GJACFMFG_00001	gene	3513	purL			
GJACFMFG_00001	CDS	3513	purL	6.3.5.3	COG0046	Phosphoribosylformylglycinamidine synthase
GJACFMFG_00002	gene	3420				
GJACFMFG_00002	CDS	3420				hypothetical protein
GJACFMFG_00003	gene	255				
GJACFMFG_00003	CDS	255				hypothetical protein
GJACFMFG_00004	gene	480	vapC			
GJACFMFG_00004	CDS	480	vapC	3.1.-.-		tRNA(fMet)-specific endonuclease VapC
GJACFMFG_00005	gene	1986	rlhA			
GJACFMFG_00005	CDS	1986	rlhA		COG0826	23S rRNA 5-hydroxycytidine synthase
GJACFMFG_00006	gene	774				
GJACFMFG_00006	CDS	774		5.2.1.8	COG0760	putative parvulin-type peptidyl-prolyl cis-trans isomerase
GJACFMFG_00007	gene	273				
GJACFMFG_00007	CDS	273				hypothetical protein
GJACFMFG_00008	gene	543	yciB			
GJACFMFG_00008	CDS	543	yciB		COG2917	putative intracellular septation protein A
GJACFMFG_00009	gene	408	msrB			
GJACFMFG_00009	CDS	408	msrB	1.8.4.12		Peptide methionine sulfoxide reductase MsrB
GJACFMFG_00010	gene	1548	selO			
GJACFMFG_00010	CDS	1548	selO	2.7.7.-	COG0397	Protein adenylyltransferase SelO
GJACFMFG_00011	gene	1629	dmdB_1			
GJACFMFG_00011	CDS	1629	dmdB_1	6.2.1.44	COG0318	3-methylmercaptopropionyl-CoA ligase
GJACFMFG_00012	gene	1233				
GJACFMFG_00012	CDS	1233				hypothetical protein
GJACFMFG_00013	gene	1035	livH_1			
GJACFMFG_00013	CDS	1035	livH_1		COG0559	High-affinity branched-chain amino acid transport system permease protein LivH
GJACFMFG_00014	gene	1293				
GJACFMFG_00014	CDS	1293				hypothetical protein
GJACFMFG_00015	gene	777	lptB_1			
GJACFMFG_00015	CDS	777	lptB_1	3.6.3.-	COG1137	Lipopolysaccharide export system ATP-binding protein LptB
GJACFMFG_00016	gene	696	livF_1			
GJACFMFG_00016	CDS	696	livF_1		COG0410	High-affinity branched-chain amino acid transport ATP-binding protein LivF
GJACFMFG_00017	gene	2112	fadB_1			
GJACFMFG_00017	CDS	2112	fadB_1			Fatty acid oxidation complex subunit alpha
GJACFMFG_00018	gene	1176	fadA_1			
GJACFMFG_00018	CDS	1176	fadA_1	2.3.1.16	COG0183	3-ketoacyl-CoA thiolase
GJACFMFG_00019	gene	1869	dmdC_1			
GJACFMFG_00019	CDS	1869	dmdC_1	1.3.8.-	COG1960	3-methylmercaptopropionyl-CoA dehydrogenase
GJACFMFG_00020	gene	306				
GJACFMFG_00020	CDS	306				hypothetical protein
GJACFMFG_00021	gene	792	gno_1			
GJACFMFG_00021	CDS	792	gno_1	1.1.1.-		Gluconate 5-dehydrogenase
GJACFMFG_00022	gene	423				
GJACFMFG_00022	CDS	423				hypothetical protein
GJACFMFG_00023	gene	1017	yfmJ			
GJACFMFG_00023	CDS	1017	yfmJ	1.-.-.-	COG2130	Putative NADP-dependent oxidoreductase YfmJ
GJACFMFG_00024	gene	936				
GJACFMFG_00024	CDS	936				hypothetical protein
GJACFMFG_00025	gene	906				
GJACFMFG_00025	CDS	906				hypothetical protein
GJACFMFG_00026	gene	393				
GJACFMFG_00026	CDS	393				hypothetical protein
GJACFMFG_00027	gene	2364	yhgF			
GJACFMFG_00027	CDS	2364	yhgF		COG2183	Protein YhgF
GJACFMFG_00028	gene	1086				
GJACFMFG_00028	CDS	1086				hypothetical protein
GJACFMFG_00029	gene	288				
GJACFMFG_00029	CDS	288				hypothetical protein
GJACFMFG_00030	gene	954				
GJACFMFG_00030	CDS	954				hypothetical protein
GJACFMFG_00031	gene	396				
GJACFMFG_00031	CDS	396				hypothetical protein
GJACFMFG_00032	gene	1137	dhaT			
GJACFMFG_00032	CDS	1137	dhaT	1.1.1.202	COG1454	1,3-propanediol dehydrogenase
GJACFMFG_00033	gene	987	nlhH			
GJACFMFG_00033	CDS	987	nlhH	3.1.1.1	COG0657	Carboxylesterase NlhH
GJACFMFG_00034	gene	858				
GJACFMFG_00034	CDS	858				hypothetical protein
GJACFMFG_00035	gene	957	ygfZ			
GJACFMFG_00035	CDS	957	ygfZ		COG0354	tRNA-modifying protein YgfZ
GJACFMFG_00036	gene	1017	mltG			
GJACFMFG_00036	CDS	1017	mltG	4.2.2.-	COG1559	Endolytic murein transglycosylase
GJACFMFG_00037	gene	753	tmk			
GJACFMFG_00037	CDS	753	tmk	2.7.4.9		Thymidylate kinase
GJACFMFG_00038	gene	1005				
GJACFMFG_00038	CDS	1005				hypothetical protein
GJACFMFG_00039	gene	807	ycfH			
GJACFMFG_00039	CDS	807	ycfH	3.1.-.-	COG0084	putative metal-dependent hydrolase YcfH
GJACFMFG_00040	gene	864				
GJACFMFG_00040	CDS	864				hypothetical protein
GJACFMFG_00041	gene	2070				
GJACFMFG_00041	CDS	2070				hypothetical protein
GJACFMFG_00042	gene	1014				
GJACFMFG_00042	CDS	1014				hypothetical protein
GJACFMFG_00043	gene	1854				
GJACFMFG_00043	CDS	1854				hypothetical protein
GJACFMFG_00044	gene	1062				
GJACFMFG_00044	CDS	1062				hypothetical protein
GJACFMFG_00045	gene	753				
GJACFMFG_00045	CDS	753				IS21 family transposase ISBmu3
GJACFMFG_00046	gene	1539				
GJACFMFG_00046	CDS	1539				IS21 family transposase ISPpu7
GJACFMFG_00047	gene	744				
GJACFMFG_00047	CDS	744				hypothetical protein
GJACFMFG_00048	gene	345	cusF			
GJACFMFG_00048	CDS	345	cusF		COG5569	Cation efflux system protein CusF
GJACFMFG_00049	gene	495				
GJACFMFG_00049	CDS	495				hypothetical protein
GJACFMFG_00050	gene	1413	ftsP			
GJACFMFG_00050	CDS	1413	ftsP			Cell division protein FtsP
GJACFMFG_00051	gene	1434				
GJACFMFG_00051	CDS	1434				hypothetical protein
GJACFMFG_00052	gene	324				
GJACFMFG_00052	CDS	324				hypothetical protein
GJACFMFG_00053	gene	729	copR			
GJACFMFG_00053	CDS	729	copR			Transcriptional activator protein CopR
GJACFMFG_00054	gene	1422	cusS			
GJACFMFG_00054	CDS	1422	cusS	2.7.13.3	COG0642	Sensor histidine kinase CusS
GJACFMFG_00055	gene	327				
GJACFMFG_00055	CDS	327				hypothetical protein
GJACFMFG_00056	gene	279				
GJACFMFG_00056	CDS	279				hypothetical protein
GJACFMFG_00057	gene	1140				
GJACFMFG_00057	CDS	1140				hypothetical protein
GJACFMFG_00058	gene	1173				
GJACFMFG_00058	CDS	1173				hypothetical protein
GJACFMFG_00059	gene	969				
GJACFMFG_00059	CDS	969				hypothetical protein
GJACFMFG_00060	gene	1452				
GJACFMFG_00060	CDS	1452				hypothetical protein
GJACFMFG_00061	gene	636				
GJACFMFG_00061	CDS	636				hypothetical protein
GJACFMFG_00062	gene	246				
GJACFMFG_00062	CDS	246				hypothetical protein
GJACFMFG_00063	gene	231				
GJACFMFG_00063	CDS	231				hypothetical protein
GJACFMFG_00064	gene	1395	dadD			
GJACFMFG_00064	CDS	1395	dadD	3.5.4.31		5'-deoxyadenosine deaminase
GJACFMFG_00065	gene	483				
GJACFMFG_00065	CDS	483				hypothetical protein
GJACFMFG_00066	gene	933	dmlR_1			
GJACFMFG_00066	CDS	933	dmlR_1			HTH-type transcriptional regulator DmlR
GJACFMFG_00067	gene	153				
GJACFMFG_00067	CDS	153				hypothetical protein
GJACFMFG_00068	gene	909	oxyR_1			
GJACFMFG_00068	CDS	909	oxyR_1			Hydrogen peroxide-inducible genes activator
GJACFMFG_00069	gene	141				
GJACFMFG_00069	CDS	141				hypothetical protein
GJACFMFG_00070	gene	429	ohrB			
GJACFMFG_00070	CDS	429	ohrB		COG1764	Organic hydroperoxide resistance protein OhrB
GJACFMFG_00071	gene	375				
GJACFMFG_00071	CDS	375				hypothetical protein
GJACFMFG_00072	gene	3120	czcA_1			
GJACFMFG_00072	CDS	3120	czcA_1			Cobalt-zinc-cadmium resistance protein CzcA
GJACFMFG_00073	gene	1131				
GJACFMFG_00073	CDS	1131				hypothetical protein
GJACFMFG_00074	gene	537				
GJACFMFG_00074	CDS	537				hypothetical protein
GJACFMFG_00075	gene	1281				
GJACFMFG_00075	CDS	1281				hypothetical protein
GJACFMFG_00076	gene	2247	cadA			
GJACFMFG_00076	CDS	2247	cadA	3.6.3.3		Cadmium-transporting ATPase
GJACFMFG_00077	gene	450	zntR			
GJACFMFG_00077	CDS	450	zntR		COG0789	HTH-type transcriptional regulator ZntR
GJACFMFG_00078	gene	318				
GJACFMFG_00078	CDS	318				hypothetical protein
GJACFMFG_00079	gene	1080	xerC_1			
GJACFMFG_00079	CDS	1080	xerC_1			Tyrosine recombinase XerC
GJACFMFG_00080	gene	900				
GJACFMFG_00080	CDS	900				hypothetical protein
GJACFMFG_00081	gene	282	hupB_1			
GJACFMFG_00081	CDS	282	hupB_1		COG0776	DNA-binding protein HU-beta
GJACFMFG_00082	gene	927	rbgA			
GJACFMFG_00082	CDS	927	rbgA		COG1161	Ribosome biogenesis GTPase A
GJACFMFG_00083	gene	624				
GJACFMFG_00083	CDS	624				hypothetical protein
GJACFMFG_00084	gene	900				
GJACFMFG_00084	CDS	900				hypothetical protein
GJACFMFG_00085	gene	1821	lpdA			
GJACFMFG_00085	CDS	1821	lpdA	1.8.1.4	COG1249	Dihydrolipoyl dehydrogenase
GJACFMFG_00086	gene	1653	aceF			
GJACFMFG_00086	CDS	1653	aceF	2.3.1.12	COG0508	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex
GJACFMFG_00087	gene	2697	aceE			
GJACFMFG_00087	CDS	2697	aceE	1.2.4.1	COG2609	Pyruvate dehydrogenase E1 component
GJACFMFG_00088	gene	2607	sasA_1			
GJACFMFG_00088	CDS	2607	sasA_1	2.7.-.-		Adaptive-response sensory-kinase SasA
GJACFMFG_00089	gene	627	tmoT_1			
GJACFMFG_00089	CDS	627	tmoT_1			Response regulator protein TmoT
GJACFMFG_00090	gene	852	folD			
GJACFMFG_00090	CDS	852	folD		COG0190	Bifunctional protein FolD protein
GJACFMFG_00091	gene	2040	prlC			
GJACFMFG_00091	CDS	2040	prlC	3.4.24.70	COG0339	Oligopeptidase A
GJACFMFG_00092	gene	384				
GJACFMFG_00092	CDS	384				hypothetical protein
GJACFMFG_00093	gene	77				
GJACFMFG_00093	tRNA	77				tRNA-Val(gac)
GJACFMFG_00094	gene	2277	relA			
GJACFMFG_00094	CDS	2277	relA	2.7.6.5	COG0317	GTP pyrophosphokinase
GJACFMFG_00095	gene	861	menH_1			
GJACFMFG_00095	CDS	861	menH_1	4.2.99.20		2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase
GJACFMFG_00096	gene	771	bdhA			
GJACFMFG_00096	CDS	771	bdhA	1.1.1.30		D-beta-hydroxybutyrate dehydrogenase
GJACFMFG_00097	gene	732	ompR_1			
GJACFMFG_00097	CDS	732	ompR_1			Transcriptional regulatory protein OmpR
GJACFMFG_00098	gene	1383	envZ			
GJACFMFG_00098	CDS	1383	envZ	2.7.13.3		Osmolarity sensor protein EnvZ
GJACFMFG_00099	gene	495	ispF			
GJACFMFG_00099	CDS	495	ispF	4.6.1.12	COG0245	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase
GJACFMFG_00100	gene	726	ispD			
GJACFMFG_00100	CDS	726	ispD	2.7.7.60		2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase
GJACFMFG_00101	gene	3495	mfd			
GJACFMFG_00101	CDS	3495	mfd	3.6.4.-	COG1197	Transcription-repair-coupling factor
GJACFMFG_00102	gene	717	serB			
GJACFMFG_00102	CDS	717	serB	3.1.3.3	COG0560	Phosphoserine phosphatase
GJACFMFG_00103	gene	258				
GJACFMFG_00103	CDS	258				hypothetical protein
GJACFMFG_00104	gene	93				
GJACFMFG_00104	tRNA	93				tRNA-Arg(tcg)
GJACFMFG_00105	gene	1197	lysN_1			
GJACFMFG_00105	CDS	1197	lysN_1	2.6.1.39	COG1167	2-aminoadipate transaminase
GJACFMFG_00106	gene	672	nth			
GJACFMFG_00106	CDS	672	nth	4.2.99.18	COG0177	Endonuclease III
GJACFMFG_00107	gene	786				
GJACFMFG_00107	CDS	786				hypothetical protein
GJACFMFG_00108	gene	2370				
GJACFMFG_00108	CDS	2370				hypothetical protein
GJACFMFG_00109	gene	657	pal_1			
GJACFMFG_00109	CDS	657	pal_1			Peptidoglycan-associated lipoprotein
GJACFMFG_00110	gene	588				
GJACFMFG_00110	CDS	588				hypothetical protein
GJACFMFG_00111	gene	984				
GJACFMFG_00111	CDS	984				hypothetical protein
GJACFMFG_00112	gene	243	grxC_1			
GJACFMFG_00112	CDS	243	grxC_1		COG0695	Glutaredoxin 3
GJACFMFG_00113	gene	1482	cobQ			
GJACFMFG_00113	CDS	1482	cobQ		COG1492	Cobyric acid synthase
GJACFMFG_00114	gene	765	fpuD			
GJACFMFG_00114	CDS	765	fpuD	7.2.2.-	COG1120	Petrobactin import ATP-binding protein FpuD
GJACFMFG_00115	gene	1020	hmuU			
GJACFMFG_00115	CDS	1020	hmuU		COG0609	Hemin transport system permease protein HmuU
GJACFMFG_00116	gene	873	btuF_1			
GJACFMFG_00116	CDS	873	btuF_1		COG0614	Vitamin B12-binding protein
GJACFMFG_00117	gene	807	btuF_2			
GJACFMFG_00117	CDS	807	btuF_2		COG0614	Vitamin B12-binding protein
GJACFMFG_00118	gene	1962	btuB_1			
GJACFMFG_00118	CDS	1962	btuB_1			Vitamin B12 transporter BtuB
GJACFMFG_00119	gene	228				
GJACFMFG_00119	CDS	228				hypothetical protein
GJACFMFG_00120	gene	327	zapA			
GJACFMFG_00120	CDS	327	zapA		COG3027	Cell division protein ZapA
