locus_tag	ftype	length_bp	gene	EC_number	COG	product
GPOOLNJA_00001	gene	2199	ligA			
GPOOLNJA_00001	CDS	2199	ligA	6.5.1.2	COG0272	DNA ligase
GPOOLNJA_00002	gene	1125				
GPOOLNJA_00002	CDS	1125				hypothetical protein
GPOOLNJA_00003	gene	3528	smc_1			
GPOOLNJA_00003	CDS	3528	smc_1		COG1196	Chromosome partition protein Smc
GPOOLNJA_00004	gene	1053				
GPOOLNJA_00004	CDS	1053				hypothetical protein
GPOOLNJA_00005	gene	378				
GPOOLNJA_00005	CDS	378				hypothetical protein
GPOOLNJA_00006	gene	3123				
GPOOLNJA_00006	CDS	3123				hypothetical protein
GPOOLNJA_00007	gene	1275	arsB_1			
GPOOLNJA_00007	CDS	1275	arsB_1		COG1055	Arsenical pump membrane protein
GPOOLNJA_00008	gene	1836				
GPOOLNJA_00008	CDS	1836		3.6.3.-	COG1132	Putative multidrug export ATP-binding/permease protein
GPOOLNJA_00009	gene	564	maa			
GPOOLNJA_00009	CDS	564	maa	2.3.1.79	COG0110	Maltose O-acetyltransferase
GPOOLNJA_00010	gene	306				
GPOOLNJA_00010	CDS	306				hypothetical protein
GPOOLNJA_00011	gene	159				
GPOOLNJA_00011	CDS	159				hypothetical protein
GPOOLNJA_00012	gene	77				
GPOOLNJA_00012	tRNA	77				tRNA-Pro(ggg)
GPOOLNJA_00013	gene	393				
GPOOLNJA_00013	CDS	393				hypothetical protein
GPOOLNJA_00014	gene	366	ihfA			
GPOOLNJA_00014	CDS	366	ihfA			Integration host factor subunit alpha
GPOOLNJA_00015	gene	2439	pheT			
GPOOLNJA_00015	CDS	2439	pheT	6.1.1.20	COG0072	Phenylalanine--tRNA ligase beta subunit
GPOOLNJA_00016	gene	1053	pheS			
GPOOLNJA_00016	CDS	1053	pheS	6.1.1.20	COG0016	Phenylalanine--tRNA ligase alpha subunit
GPOOLNJA_00017	gene	363	rplT			
GPOOLNJA_00017	CDS	363	rplT		COG0292	50S ribosomal protein L20
GPOOLNJA_00018	gene	204	rpmI			
GPOOLNJA_00018	CDS	204	rpmI			50S ribosomal protein L35
GPOOLNJA_00019	gene	525	infC			
GPOOLNJA_00019	CDS	525	infC		COG0290	Translation initiation factor IF-3
GPOOLNJA_00020	gene	1920	thrS			
GPOOLNJA_00020	CDS	1920	thrS	6.1.1.3	COG0441	Threonine--tRNA ligase
GPOOLNJA_00021	gene	1320	aceA			
GPOOLNJA_00021	CDS	1320	aceA	4.1.3.1	COG2224	Isocitrate lyase
GPOOLNJA_00022	gene	429				
GPOOLNJA_00022	CDS	429				hypothetical protein
GPOOLNJA_00023	gene	957				
GPOOLNJA_00023	CDS	957				hypothetical protein
GPOOLNJA_00024	gene	492	lrpC_1			
GPOOLNJA_00024	CDS	492	lrpC_1		COG1522	HTH-type transcriptional regulator LrpC
GPOOLNJA_00025	gene	930	yedA			
GPOOLNJA_00025	CDS	930	yedA			putative inner membrane transporter YedA
GPOOLNJA_00026	gene	306				
GPOOLNJA_00026	CDS	306				hypothetical protein
GPOOLNJA_00027	gene	1053	futA1			
GPOOLNJA_00027	CDS	1053	futA1			Iron uptake protein A1
GPOOLNJA_00028	gene	759				
GPOOLNJA_00028	CDS	759		1.-.-.-		putative oxidoreductase
GPOOLNJA_00029	gene	906	ptlF			
GPOOLNJA_00029	CDS	906	ptlF	1.1.1.340		1-deoxy-11-beta-hydroxypentalenate dehydrogenase
GPOOLNJA_00030	gene	957				
GPOOLNJA_00030	CDS	957				hypothetical protein
GPOOLNJA_00031	gene	471	elaA			
GPOOLNJA_00031	CDS	471	elaA		COG2153	Protein ElaA
GPOOLNJA_00032	gene	1017	curA			
GPOOLNJA_00032	CDS	1017	curA	1.3.1.-	COG2130	NADPH-dependent curcumin reductase
GPOOLNJA_00033	gene	417				
GPOOLNJA_00033	CDS	417				hypothetical protein
GPOOLNJA_00034	gene	792	gno_1			
GPOOLNJA_00034	CDS	792	gno_1	1.1.1.-		Gluconate 5-dehydrogenase
GPOOLNJA_00035	gene	1896	dmdC_1			
GPOOLNJA_00035	CDS	1896	dmdC_1	1.3.8.-	COG1960	3-methylmercaptopropionyl-CoA dehydrogenase
GPOOLNJA_00036	gene	435				
GPOOLNJA_00036	CDS	435				hypothetical protein
GPOOLNJA_00037	gene	1176	fadA_1			
GPOOLNJA_00037	CDS	1176	fadA_1	2.3.1.16	COG0183	3-ketoacyl-CoA thiolase
GPOOLNJA_00038	gene	2100	fadB			
GPOOLNJA_00038	CDS	2100	fadB			Fatty acid oxidation complex subunit alpha
GPOOLNJA_00039	gene	1287				
GPOOLNJA_00039	CDS	1287				hypothetical protein
GPOOLNJA_00040	gene	2250				
GPOOLNJA_00040	CDS	2250				hypothetical protein
GPOOLNJA_00041	gene	753				
GPOOLNJA_00041	CDS	753				hypothetical protein
GPOOLNJA_00042	gene	390				
GPOOLNJA_00042	CDS	390				putative protein
GPOOLNJA_00043	gene	561				
GPOOLNJA_00043	CDS	561				hypothetical protein
GPOOLNJA_00044	gene	1233				
GPOOLNJA_00044	CDS	1233				hypothetical protein
GPOOLNJA_00045	gene	696	livF_1			
GPOOLNJA_00045	CDS	696	livF_1		COG0410	High-affinity branched-chain amino acid transport ATP-binding protein LivF
GPOOLNJA_00046	gene	795	rbsA_1			
GPOOLNJA_00046	CDS	795	rbsA_1	7.5.2.7	COG1129	Ribose import ATP-binding protein RbsA
GPOOLNJA_00047	gene	1323				
GPOOLNJA_00047	CDS	1323				hypothetical protein
GPOOLNJA_00048	gene	954	livH_1			
GPOOLNJA_00048	CDS	954	livH_1		COG0559	High-affinity branched-chain amino acid transport system permease protein LivH
GPOOLNJA_00049	gene	1236	braC_1			
GPOOLNJA_00049	CDS	1236	braC_1		COG0683	Leucine-, isoleucine-, valine-, threonine-, and alanine-binding protein
GPOOLNJA_00050	gene	1641	dmdB			
GPOOLNJA_00050	CDS	1641	dmdB	6.2.1.44	COG0318	3-methylmercaptopropionyl-CoA ligase
GPOOLNJA_00051	gene	1491	selO			
GPOOLNJA_00051	CDS	1491	selO	2.7.7.-	COG0397	Protein adenylyltransferase SelO
GPOOLNJA_00052	gene	411	msrB			
GPOOLNJA_00052	CDS	411	msrB	1.8.4.12		Peptide methionine sulfoxide reductase MsrB
GPOOLNJA_00053	gene	570	yciB			
GPOOLNJA_00053	CDS	570	yciB		COG2917	putative intracellular septation protein A
GPOOLNJA_00054	gene	270	bolA			
GPOOLNJA_00054	CDS	270	bolA		COG0271	DNA-binding transcriptional regulator BolA
GPOOLNJA_00055	gene	786				
GPOOLNJA_00055	CDS	786		5.2.1.8	COG0760	putative parvulin-type peptidyl-prolyl cis-trans isomerase
GPOOLNJA_00056	gene	798				
GPOOLNJA_00056	CDS	798				hypothetical protein
GPOOLNJA_00057	gene	588				
GPOOLNJA_00057	CDS	588				hypothetical protein
GPOOLNJA_00058	gene	77				
GPOOLNJA_00058	tRNA	77				tRNA-Pro(tgg)
GPOOLNJA_00059	gene	255	infA_1			
GPOOLNJA_00059	CDS	255	infA_1			Translation initiation factor IF-1
GPOOLNJA_00060	gene	855	psd			
GPOOLNJA_00060	CDS	855	psd	4.1.1.65	COG0688	Phosphatidylserine decarboxylase proenzyme
GPOOLNJA_00061	gene	177				
GPOOLNJA_00061	CDS	177				hypothetical protein
GPOOLNJA_00062	gene	1956				
GPOOLNJA_00062	CDS	1956				hypothetical protein
GPOOLNJA_00063	gene	912	rhtA			
GPOOLNJA_00063	CDS	912	rhtA		COG5006	Threonine/homoserine exporter RhtA
GPOOLNJA_00064	gene	825				
